timestamp,instance,iteration,seed,seconds
2025-10-20_19:11:19,Instance26,9,0.384076347,1.305
2025-10-20_19:11:21,Instance38,9,0.493180806,1.364
2025-10-20_19:11:22,Instance53,9,0.896358646,1.468
2025-10-20_19:11:24,Instance65,9,0.330686487,1.516
2025-10-20_19:11:25,Instance80,9,0.674389117,1.551
2025-10-20_19:11:27,Instance95,9,0.840585512,1.822
2025-10-20_19:11:29,Instance126,9,0.692064806,2.024
2025-10-20_19:11:31,Instance146,9,0.197936612,2.152
2025-10-20_19:11:34,Instance210,9,0.370438590,2.642
2025-10-20_19:11:38,Instance338,9,0.879421411,3.558
2025-10-20_19:11:39,Instance11,10,0.680051705,1.229
2025-10-20_19:11:40,Instance20,10,0.748686975,1.289
2025-10-20_19:11:41,Instance26,10,0.513182276,1.349
2025-10-20_19:11:43,Instance38,10,0.299839246,1.412
2025-10-20_19:11:44,Instance53,10,0.318745597,1.441
2025-10-20_19:11:46,Instance65,10,0.336594644,1.521
2025-10-20_19:11:48,Instance80,10,0.498082727,1.542
2025-10-20_19:11:53,Instance95,10,0.661322678,5.360
2025-10-20_19:11:55,Instance126,10,0.911348587,2.004
2025-10-20_19:11:57,Instance146,10,0.217431528,2.189
2025-10-20_19:12:00,Instance210,10,0.737399817,2.595
2025-10-20_19:12:03,Instance338,10,0.363677768,3.628
